Date,Startup_Name,Industry,SubVertical,City,Investors,InvestmentType,Amount_usd,sector
09/01/2020,BYJUs,"E Tech","E learning",Bangalore,"Tiger Global Management",Equity,200000000,Education
13/01/2020,Shuttl,Transportation,"App based shuttle service",Gurugram,"Susquehanna Growth Equity","Series C",8048390,"Transportation and Logistics"
09/01/2020,Mamaearth,"E commerce","Retailer of baby and toddler products",Bangalore,"Sequoia Capital India","Series B",18358900,E-Commerce
02/01/2020,wealthbucket,FinTech,"Online Investment",Delhi,"Vinod Khatumal","Pre Series A",3000000,Finance
02/01/2020,Fashor,"Fashion and Apparel","Embroiled Clothes For Women",Mumbai,"Sprout Venture Partners","Seed Funding",1800000,Fashion
13/01/2020,Pando,Logistics,"Open market, freight management platform",Chennai,"Chiratae Ventures","Series A",9000000,"Transportation and Logistics"
10/01/2020,Zomato,Hospitality,"Online Food Delivery Platform",Gurugram,"Ant Financial",Equity,150000000,Hospitality
12/12/2019,Ecozen,Technology,Agritech,Pune,"Sathguru Catalyzer Advisors","Series A",6000000,Technology
06/12/2019,CarDekho,"E Commerce",Automobile,Gurugram,"Ping An Global Voyager Fund","Series D",70000000,E-Commerce
03/12/2019,DhruvaSpace,Aerospace,"Satellite Communication",Bangalore,"Mumbai Angels, Ravikanth Reddy","Seed Funding",50000000,Other
13/12/2019,Rivigo,Technology,"Logistics Services and Solutions",Gurugram,"SAIF Partners, Spring Canter Investment Ltd.","Series F",20000000,Technology
17/12/2019,Healthians,"B2B focused foodtech startup","Food Solutions For Corporate",Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux","Series C",12000000,"Food and Beverages"
16/12/2019,Licious,"E Commerce","Online Meat And Seafood Ordering Startup",Bangalore,"Vertex Growth Fund","Series E",30000000,E-Commerce
16/12/2019,InCred,Finance,"Non Banking Financial Company",Mumbai,,Debt,5900000,Finance
14/12/2019,Trell,Video,"Experience Discovery Platform",Bangalore,"Ruizheng Investment","Seed Funding",2000000,Other
11/12/2019,ReinGames,Gaming,"Real money based gaming startup",Noida,"Manipal Education and Medical Group (MEMG)","Seed Funding",50000000,"Online Gaming"
20/12/2019,Lenskart,"E Commerce","Online Eyewear Shopping Portal",Faridabad,"SoftBank Vision Fund","Series G",231000000,E-Commerce
13/11/2019,Freshworks,Software,"Business and customer engagement tools","San Francisco","Sequoia, CapitalG, Accel","Series H",150000000,Technology
14/11/2019,Misters,"Health and wellness","Men's Health and Wellness brand",Gurugram,"Sauce.vc, Rainforest Ventures","Series B",486000,Healthcare
13/11/2019,SunstoneEduversityPvt.Ltd,Education,Elearning,Gurugram,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg","Seed Funding",1500000,Education
18/11/2019,Healthians,"Health and Wellness","Healthcare services",Gurugram,"DG Daiwa Ventures, DG Incubation","Series B",12000000,Healthcare
15/11/2019,Ninjacart,"B2B Marketing",Agritech,Bangalore,"Trifecta Capital Advisors",Debt,26000000,"Advertisement and Marketing"
20/11/2019,AyeFinance,FinTech,"Financial Services To MSMEs",Gurugram,FinTech,Debt,17411300,Finance
12/11/2019,SuperGaming,"Video Games","Social gaming platform",Pune,"Dream Incubator","Seed Funding",1300000,"Online Gaming"
20/11/2019,Clumio,SaaS,"Recovery software","San Jose,","Altimeter Capital, Sutter Hill Ventures","Series C",135000000,Technology
11/11/2019,eBikeGo,"Last Mile Transportation","Electric bike rental",Amritsar,"Startup Buddy","Seed Funding",300000,"Transportation and Logistics"
19/11/2019,DigitalMallAsia,"E Commerce","Virtual e commerce platform",Delhi,"Amour Infrastructure","Seed Funding",220000000,E-Commerce
18/11/2019,Medikabazaar,Healthcare,"B2B platform for medical supplies",Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing","Series B",15800000,Healthcare
15/11/2019,VogoAutomotive,"Last Mile Transportation","Scooter sharing app",Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital","Series B",283000000,"Transportation and Logistics"
19/11/2019,FurtadosSchoolofMusic,Education,"Music Education",Tulangan,"IAN Fund and DSG Consumer Partners",,200000000,Education
25/11/2019,Paytm,FinTech,"Mobile Wallet",Noida,"Vijay Shekhar Sharma","Funding Round",1000000000,Finance
04/10/2019,Dunzo,"Customer Service","Delivery Service",Bangalore,Lightbox,"Series D",45000000,Services
02/10/2019,Udaan,B2B,"Business development",Bangalore,"Altimeter Capital, DST Global","Series D",585000000,Other
05/09/2019,FPLTechnologies,FinTech,"Financial Services",Pune,"Matrix Partners India, Sequoia India","Maiden Round",4500000,Finance
04/09/2019,Cashflo,FinTech,"Invoice discounting platform and SME lending marketplace",Mumbai,"SAIF Partners","Series A",3300000,Finance
04/09/2019,DigitalF5,"Advertising, Marketing","Digital marketing firm",Mumbai,"TIW Private Equity",Equity,6000000,"Advertisement and Marketing"
04/09/2019,3rdFlix,SaaS,"Education Technology",Hyderabad,"Exfinity Venture Partners","Pre Series A",5000000,Technology
04/09/2019,75F,IoT,"Building automation system",Burnsville,"Breakthrough Energy Ventures","Series A",18000000,Other
04/09/2019,MyelinFoundry,"Information Technology","Deep technology",Bangalore,"Endiya Partners","Seed Funding",1000000,Technology
04/09/2019,AtombergTechnology,"Consumer Technology","Consumer Electronics, Home Appliances",Mumbai,"A91 Partners","Series A",10000000,Technology
04/09/2019,GOQii,"Health and Wellness","Wearable Fitness Bands","Menlo Park","Bennett Coleman and Company Ltd (BCCL)","Series C",450000000,Healthcare
03/09/2019,VyaparApp,Accounting,"Mobile based Accounting Software",Bangalore,"India Quotient, Axilor Ventures","Series A",5000000,Finance
01/08/2019,CarDekho,"E Commerce",Automotive,Gurugram,"SC GG India Mobility Holdings LLC","Series C",20000000,E-Commerce
01/08/2019,Progcap,Finance,"Supply Chain Management",Delhi,"Sequoia India","Series A",5000000,Finance
01/08/2019,MyPetrolPump,Retail,"Fuel Delivery",Bangalore,,"Seed Funding",1600000,E-Commerce
01/08/2019,AlteriaCapital,Finance,"VC Funds",Mumbai,"Azim Premji, Binny Bansal",Venture,140000000,Finance
01/08/2019,PineLabs,"Information Technology","Last mile retail transaction technology",Noida,"Pine Labs Pte Ltd","Corporate Round",38080000,Technology
12/08/2019,Meesho,"E Commerce","Social Commerce",Bangalore,Naspers,"Series D",125000000,E-Commerce
13/08/2019,Cars24,"E Commerce","Car Retail",Gurugram,"MS Dhoni","Series D",11000000,E-Commerce
13/08/2019,Uniphore,"Customer Service Platform","Conversational AI","Palo Alto","March Capital Partners","Series C",51000000,Technology
23/08/2019,Zendrive,Automotive,"Road Safety Analytics","San Francisco","XL Innovate","Series B",37000000,Automotive
23/08/2019,Lo!Foods,"Consumer Goods","Low carb food for Diabetics",Bangalore,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)","Seed Funding",500000,Other
23/08/2019,Tala,FinTech,"Digital Lending Platform","Santa Monica","RPS Ventures","Series D",110000000,Finance
22/08/2019,INDwealth,FinTech,"Wealth Management",Gurugram,"Tiger Global Management",Venture,15000000,Finance
21/08/2019,HungerBox,"Food and Beverage","B2B Foodtech",Bangalore,"One97 Communications Ltd.","Series C",6590000,"Food and Beverages"
23/08/2019,AdmitKard,EdTech,"University Admissions",Noida,"Growth DNA","Seed Funding",1000000,Education
19/08/2019,Grofers,"E Commerce","Grocery Delivery",Gurugram,"Softbank Vision Fund","Series F",70000000,E-Commerce
27/08/2019,RapidoBikeTaxi,Transportation,"Bike Taxi",Bangalore,"Westbridge Capital","Series B",3900000000,"Transportation and Logistics"
02/07/2019,RenewBuy,Finance,"Auto Insurance",Gurugram,"Lok Capital, IIFL Wealth","Series B",19000000,Finance
02/07/2019,Atlan,"Information Technology","Big Data",Singapore,"WaterBridge Ventures","Pre Series A",2500000,Technology
01/07/2019,WizCounsel,Compliance,Consulting,Delhi,"Kapil Dev","Seed Funding",145000,Other
03/07/2019,OlaCabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury","Series J",1000000,"Transportation and Logistics"
01/07/2019,Uniphore,"Artificial Intelligence","Speech Recognition",Taramani,"March Capital Partners","Series C",38080000,Technology
04/07/2019,DaalchiniTechnologies,"Food and Beverage","Digital Vending Machine",Delhi,"Artha Venture","Seed Funding",500000,"Food and Beverages"
10/07/2019,BYJUs,EdTech,Education,Bangalore,"Qatar Investment Authority",Equity,150000000,Education
11/07/2019,Moglix,"E Commerce","Industrial Tools and Equipments",Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management","Series D",60000000,E-Commerce
10/07/2019,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,"Series B",16000000,Technology
10/07/2019,IndusOS,Tech,"Smartphone Operating System",Andheri,Ventureast,"Series B",5750000,Technology
10/07/2019,HealthAssure,"Health Care","Primary care medical network",Mumbai,"Blume Ventures","Series A",2500000,Healthcare
09/07/2019,HouseofMsasaba,"Luxury Label","Clothes and Apparel",Mumbai,"Binny Bansal","Series A",1000000,Other
08/07/2019,BoardInfinity,EdTech,"Full stack career platform",Chembur,"Multiple Angel Investors","Seed Funding",319605,Education
05/06/2019,NoBroker,"E Commerce","Real Estate",Bangalore,"General Atlantic","Series C",51000000,E-Commerce
04/06/2019,Bira91,"Food and Beverage",Brewery,Delhi,"Anicut Capital",Debt,10000000,"Food and Beverages"
03/06/2019,FabHotels,"E Commerce",Hospitality,Gurugram,"Goldman Sachs, Accel Partners and Qualcomm",,4889980,E-Commerce
03/06/2019,AvailFinance,Finance,FinTech,Bangalore,"Matrix Partners","Series A",9000000,Finance
04/06/2019,BharatPe,Finance,FinTech,Delhi,"Insight Partners","Series B",75000000,Finance
04/06/2019,Recykal,"Waste Management Service",Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh","Pre Series A",26000000,Sustainability
03/06/2019,AgaraLabs,"Deep Tech","Artificial Intelligence",Bangalore,"Blume Ventures and RTP Global","Pre Series A",2500000,Technology
06/06/2019,Sistema.bio,Agriculture,"Hybrid Reactor Biodigestor",Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",,2739030,Agriculture
06/06/2019,ChakrInnovation,Energy,"Renewable Energy",Delhi,"IAN Fund","Series A",26000000,Sustainability
06/06/2019,Pratilipi,"Digital Media","E Books",Bangalore,"Qiming Venture Partners","Series B",15109500,Other
10/06/2019,BoloApp,"Digital Media","Video Platform",Bangalore,"Nexus Venture Partners","Seed Funding",430200,Other
10/06/2019,OkCredit,FinTech,"Financial Services",Haryana,"Tiger Global Management","Series A",15500000,Finance
06/06/2019,Biz2Credit,FinTech,"Online Lending Platform","New York","WestBridge Capital","Series B",52000000,Finance
08/06/2019,VogoAutomotivePvt.Ltd.,Transportation,"Dockless Scooter Rental Company",Karnataka,"Alteria Capital",Debt,3584000,"Transportation and Logistics"
04/06/2019,Leegality,Services,"Digital Documentation",Mumbai/Bangalore,"Mumbai Angels","Series A",3400000,Services
06/05/2019,SaahasZeroWaste,"Waste Management Service",Optimization,Bangalore,"C4D Partners",Venture,868600,Sustainability
01/05/2019,BlackBuck,Transport,Logistics,Bangalore,"Goldman Sachs Investment Partners and Silicon Valley-based Accel Wellington Sequoia Capital B Capital LightStreet Sands Capital and International Finance Corporation","Series D",150000000,"Transportation and Logistics"
02/05/2019,Zenoti,Saas,"Beauty and Wellness Industry",Hyderabad,"Tiger Global Management","Series C",50000000,Technology
28/05/2019,AtherEnergy,Automobile,"Electric Vehicle",Bangalore,"Sachin Bansal","Series C",51000000,Automotive
28/05/2019,FreshVnF,Agtech,"Fresh Agriculture Produces",Mumbai,"Equanimity Ventures","Seed Funding",140000000,Technology
30/05/2019,GlowRoad,"E commerce",Retail,Bangalore,"Korea Investment Partners, Vertex Ventures","Series B",11500000,E-Commerce
31/05/2019,Bira91,"Food and Beverage",Brewery,Delhi,"Sixth Sense Ventures","Series B",5600000,"Food and Beverages"
16/04/2019,Kuvera,Finance,"Wealth Management",Bangalore,"Eight Roads","Series A",45000000,Finance
12/04/2019,Medlife,"E commerce","Online Medicine",Bangalore,"Prasid Uno Family Trust",Equity,17000000,E-Commerce
10/04/2019,Kabadiwala,"E commerce","Waste Management",Bhopal,"Unilever Beehive Capital Advisor ABCOM Investments Parekh Marine Transport",Equity,430665,E-Commerce
13/04/2019,Tripoto,"Social Media",Travel,Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV","Series B",3591380,Technology
12/04/2019,Azah,"Health and Wellness","Organic wellness",Gurugram,"Unnamed angel investors","Seed Funding",200000,Healthcare
11/04/2019,Setu,Fintech,Banking,Bangalore,"Lightspeed India Partners","Seed Funding",3500000,Finance
10/04/2019,Toppr,Edtech,"E learning",Mumbai,Milestone,Debt,6320820,Education
10/04/2019,Craftsvilla,"E commerce","Fashion and Apparel",Mumbai,"Supera Pte Ltd","Inhouse Funding",2443500,E-Commerce
10/04/2019,Unacademy,Edtech,"E learning",Bangalore,"Kalyan Krishnamurthy","Seed Funding",307000,Education
11/04/2019,CleverTap,SaaS,"Mobile analytics and marketing",Mumbai,"Sequoia India, Tiger Global Management, Accel Partners","Series B",26000000,Technology
19/04/2019,MyHealthcare,"E commerce","Software Solutions","Bangalore and Gurugram","Sixth Sense Ventures","Series A",3000000,E-Commerce
19/04/2019,KrazyBee,"E commerce","Lending Platform",Bangalore,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,14342000,E-Commerce
17/04/2019,Shuttl,Transportation,"Bus Aggregation",Gurugram,"New Atlantic Ventures",Venture,5000000,"Transportation and Logistics"
17/04/2019,Increff,Technology,"Supply chain technology solutions",Bangalore,"021 Capita, Binny Bansal","Series A",3000000,Technology
08/02/2019,Zilingo,Ecommerce,"Fashion & Apparel",India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina","Series D",226000000,E-Commerce
13/02/2019,NanoCleanGlobal,Nanotechnology,"Anti Pollution",Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments","Series A",600000,Technology
14/02/2018,OyoRooms,Hospitality,"Budget Rooms",Gurugram,"DiDi Chuxing",Equity,100000000,Hospitality
03/01/2019,CarDekho,Automobile,"Online Marketplace",Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank","Series C",110000000,Automotive
04/01/2019,VyomeTherapeuticsInc.,"Health and Wellness","Specialty pharmaceutical",India/USA,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital","Series D",22000000,Healthcare
04/01/2019,SamunnatiFinancialIntermediation&ServicesPvt.Ltd,Finance,"Non banking financial company",Chennai,"MASSIF, a Dutch government fund",Debt,5000000,Finance
04/12/2018,Manch,"Social Media","Hyperlocal Content",Delhi,"Stellaris Venture Partners","Seed Funding",700000,Technology
01/12/2018,UrbanClapTechnologiesPvt.Ltd,"Services Platform","Home services marketplace",Delhi,"Steadview Capital and Vy Capital.","Series D",50000000,Technology
02/12/2018,Guiddoo,"Travel Tech","Platform for travel agents",Mumbai,"Individual Investors","Pre Series A",800000,Hospitality
02/12/2018,CareerAnna,"Online Education","Video based certification, trainings",Gurugram,"Individual Investors","Pre Series A",572000,Education
04/12/2018,NagpurWholesale,"Online Marketplace",eCommerce,Nagpur,"Omphalos Ventures India LLP","Seed Funding",143000,E-Commerce
06/12/2018,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.","Seed Funding",2000000,Other
06/12/2018,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors","Series A",3500000,E-Commerce
01/11/2018,GoDesi,"Food and Beverage","Regional Flavours",Bangalore,"Lead Angels Network","Seed Funding",138995,"Food and Beverages"
03/11/2018,VeritasFinanceLtd.,NBFC,"MSME Finance",Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai","Series D",27799000,Finance
06/11/2018,Meesho,Ecommerce,"Social Commerce",Bangalore,"Shunwei Capital, DST Partners and RPS Ventures","Series C",50000000,E-Commerce
08/11/2018,MobilePremierLeague,Gaming,"Mobile e Sports",Bangalore,Undisclosed,"Series A",500000,"Online Gaming"
08/11/2018,A&RBonVivants,Food,"Meat Retail Chain",Jaipur,"RB Investments, Singapore",Equity,1000000,"Food and Beverages"
12/11/2018,Blackbuck,"Food Tech","POS For Online Ordering","New York, Bangalore","Tiger Global","Series A",1000000,"Food and Beverages"
12/11/2018,MilkBAsket,Food,"Micro delivery grocery service",Delhi,"Mayfield Fund","Series B",1300000,"Food and Beverages"
13/11/2018,DriveU,Transport,"On Demand Drivers",Bangalore,"Stevens Creek Ventures",Mezzanine,1000000,"Transportation and Logistics"
14/11/2018,CleanseCar,Services,"Car Wash",Bangalore,"Venture Catalysts","Seed Funding",500000,Services
19/11/2018,AutomationAnywhere,Automation,Robotics,California,"SoftBank Vision Fund","Series B",300000000,Technology
20/11/2018,HealthifyMe,"Health and Wellness","Wellness Coach",Bangalore,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.","Series B (Extension)",6000000,Healthcare
21/11/2018,GeniusCorner,Education,"Personalized Learning",Noida,"Individual investors","Seed Funding",278000,Education
22/11/2018,Aavishkaar-IntellecapGroup,Investment,"SME Funding",Mumbai,"Teachers Insurance and Annuity Association (TIAA)",Equity,31000000,Finance
23/11/2018,Signzy,"Financial Tech","Digital Onboarding Solution",Mumbai/Bangalore,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India","Series A",3400000,Finance
24/11/2018,Engineer.ai,Software,"AI Platform",India/USA,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.","Series A",29500000,Technology
25/11/2018,InCredFinance,Finance,"SME Lending",India,"Paragon Partners, Individual Investors",Equity,42000000,Finance
25/11/2018,Roposo,"Social Media","Video Sharing",Delhi,"Bertelsmann India Investments","Series B",1700000,Technology
02/10/2018,OrigoCommoditiesIndiaPvt.Ltd,Logistics,"Supply Chain",Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund","Seed Funding",11000000,"Transportation and Logistics"
04/10/2018,GroverZampa,Food,Wine,Mumbai,"Ravi Viswanathan",Equity,8200000,"Food and Beverages"
05/10/2018,Droom,Automobile,"New and Used Cars Platform",Gurugram,ZigExN,"Series E",3000000,Automotive
11/10/2018,Innov8,"Real Estate","Co Working",Delhi,"Credence Family Office","Pre Series A",4000000,"Real Estate"
12/10/2018,Blackbuck,"Logistics Tech","Largest Trucking Platform",Bangalore,"Sequoia Capital India","Private Funding",14680000,"Transportation and Logistics"
12/10/2018,LetsTransport,"Logistics Tech","Book Trucks Online",Bangalore,"Fosun International","Series C",12000000,"Transportation and Logistics"
01/09/2018,Netmeds,"Consumer Internet","Online Pharmacy Chain",Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Equity,35000000,Other
03/09/2018,Udaan,"B2B Platform","Logistics and Shipping",Bangalore,"DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.",Equity,225000000,Technology
03/09/2018,Dailyhunt,"Consumer Internet","News and ebooks Mobile App",Bangalore,"Falcon Edge",Equity,6390000,Other
04/09/2018,3HCare,Healthcare,"Healthcare Service Provider",Delhi,N/A,"Seed Funding",1000000,Healthcare
05/09/2018,Nykaa,"Consumer Internet","Online Marketplace For Multi brand Beauty Cosmetic and Wellness Products",Mumbai,Lighthouse,Equity,157200000,Other
06/09/2018,Dream11,"Consumer Internet","Online Gaming Platform",Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Equity,100000000,Other
10/09/2018,MamaEarth,Healthcare,"Online Marketplace For Mother and Babycare Products",Gurugram,"Stellaris Ventures & Others",Equity,4000000,Healthcare
11/09/2018,AutoGrid,Technology,"AI Based Energy Optimisation and Control Provider",Bangalore,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Equity,32000000,Technology
11/09/2018,Pharmeasy,"Consumer Internet","Online Marketplace For Pharmaceutical Products",Mumbai,"InnoVen Capital",Debt,5500000,Other
11/09/2018,Upwards,"Fin Tech","Online Micro Lending Marketplace",Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Equity,5000000,Finance
12/09/2018,Kissht,"Fin Tech","Online lending Platform",Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Equity,30000000,Finance
01/08/2018,dishq,"Food Tech","Personalisation Technology Firm Focusing On The Food And Beverage Industry",Bangalore,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners","Seed Funding",400000,"Food and Beverages"
02/08/2018,SamosaLabs,"Consumer Internet","Social Media and Chat Entertainment Platform",Hyderabad,"Xiaomi and Sequoia Capital India",Equity,7000000,Other
03/08/2018,ZiffyHomes,"Consumer Internet","Online Home Rental Marketplace",Gurugram,"Y Combinator",Equity,120000,Other
07/08/2018,MyOmNamo,"Consumer Internet","Holy Platform Offering Customised Puja Packages To Individuals and Corporates",Mumbai,N/A,"Seed Funding",1000000,Other
07/08/2018,ShopX,"Consumer Internet","Assisted E commerce Platform",Bangalore,"Fung Strategic Holdings",Equity,35000000,Other
07/08/2018,MakeMyTrip,"Consumer Internet","Online Travel Aggregator",Gurugram,"MakeMyTrip Limited",Equity,10000000,Other
08/08/2018,Hanselio,"Consumer Internet","Real time Mobile App Management",Bangalore,"Vertex Ventures","Seed Funding",4000000,Other
08/08/2018,MetroBikes,"Consumer Internet","Online Bike Rental Marketplace",Bangalore,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Equity,12200000,Other
08/08/2018,PhonePe,"Consumer Internet","UPI Payments App",Bangalore,Flipkart,Equity,66000000,Other
09/08/2018,quizizz,"Ed Tech","e learning Platform",Bangalore,"Nexus Venture Partners, Prime Venture Partners and Others","Seed Funding",3000000,Education
09/08/2018,HappyEMI,"Fin Tech","Consumer Financing Platform",Bangalore,"AJ Ventures and Jain International Trade Organisation (JITO)","Seed Funding",1000000,Finance
13/08/2018,Inthree,"Consumer Internet","Rural E commerce Platform",Chennai,"Ventureast, Orios Venture Partners and the IAN Fund","Seed Funding",4000000,Other
13/08/2018,ObserveAI,Technology,"AI Based Solutions Platform",Bangalore,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Equity,8000000,Technology
16/08/2018,Enakshi,"Consumer Internet","AI Based Solutions Platform",Ahemdabad,N/A,"Seed Funding",114811,Other
17/08/2018,EazyDiner,"Consumer Internet","Online Restaurant Table Reservation Platform",Gurugram,"Denlow Investment Trust and Beenext",Equity,5850000,Other
20/08/2018,Finzy,Finance,"Online Loan Matchmaking Platform",Bangalore,N/A,"Seed Funding",1000000,Finance
20/08/2018,RawPressery,"Consumer Internet","Online Organic Juice Delivery Service",Mumbai,"Alteria Capital",Debt,4800000,Other
22/08/2018,PiVentures,Technology,"Applied Artificial Intelligence and IoT focusedPlatform",Bangalore,"CDC Group plc",Equity,6000000,Technology
22/08/2018,Revv,"Consumer Internet","Online Indian Car Rental Platform",Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Equity,14270000,Other
26/08/2018,ZestMoney,"Consumer Internet","Online Lending Platform",Bangalore,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Equity,13400000,Other
26/08/2018,ShubhLoans,"Fin Tech","Customer Sourcing Platform",Bangalore,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Equity,4200000,Finance
27/08/2018,MyUpchar,Healthcare,"Local Language Health Content App",Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Equity,5000000,Healthcare
28/08/2018,Narvar,IT,"Post Purchase Customer Engagement Platform",Bangalore,"Accel (formerly known as Accel Partners)",Equity,3000000,Technology
30/08/2018,TrueNorth,Finance,"Private Equity Firm",Mumbai,N/A,Equity,600000000,Finance
02/07/2018,BiryaniByKilo,"Consumer Internet","Online Food Delivery",Gurugram,"Ajay Relan and Vinay Mittal","Seed Funding",1000000,Other
04/07/2018,Anchanto,IT,"E commerce Fulfilment Platform",Pune,"MDI Ventures & Telkom Indonesia",Equity,4000000,Technology
05/072018,LoanTap,"Consumer Internet","Online Lending Platform For Salaried Professionals",Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Equity,6250000,Other
06/07/2018,PolicyBazaar,"Consumer Internet","Online Insurance Selling Platform",Gurugram,"Info Edge (India) Ltd and Temasek",Equity,27700000,Other
09/07/2018,zippserv,"Consumer Internet","Online Platform For Risk Assessment Services For Real Estate Investments",Bangalore,"Info Edge (India) Ltd","Seed Funding",440000,Other
09/07/2018,Groww,"Consumer Internet","Online Platform That Sells Direct Plans Of Mutual Funds",Bangalore,"Insignia Ventures Partners, Lightbridge Partners & Kairos","Seed Funding",1100000,Other
10/07/2018,AvenueGrowth,"Consumer Internet","Online Platform That Connects Brands With Freelance Sales Professionals",Gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others","Seed Funding",437000,Other
10/07/2018,KinaraCapital,Finance,"Lending Platform For Micro and Small Enterprises",Bangalore,ResponsAbility,Equity,5000000,Finance
10/07/2018,Shop101,"Consumer Internet","Mobile Storefront And Commerce Platform For Sellers",Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Equity,5000000,Other
11/07/2018,Sambandh,"Consumer Internet","Online Micro Lending Platform",Rourkela,"Base of Pyramid Asia (BOPA) Pte Ltd",Equity,2500000,Other
12/07/2018,19thmile,IT,"Artificial intelligence based sales acceleration software platform",Gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others","Seed Funding",180000,Technology
12/07/2018,5thVital,Healthcare,"Home diagnostics services provider",Bangalore,"Brand Capital and Others","Seed Funding",500000,Healthcare
13/07/2018,MEngage,Healthcare,"A Doctor Patient Engagement Platform",Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.","Seed Funding",175000,Healthcare
17/07/2018,Ofbusiness,Finance,"Online Lending Platform For SME",Gurugram,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Equity,29000000,Finance
17/07/2018,Cars24,"Consumer Internet","Online Used Car Marketplace",Gurugram,"Kingsway FCI Fund, KCK Global & Others",Equity,49700000,Other
18/07/2018,TheKen,"Consumer Internet","Subscription Only News Website",Bangalore,"Omidyar Network & Others","Seed Funding",1500000,Other
19/07/2018,BookMyShow,"Consumer Internet","Online Ticketing Platform",Mumbai,"TPG Growth, The Rise Fund & Others",Equity,100000000,Other
20/07/2018,HousingMan,"Consumer Internet","Property Discovery Platform",Bangalore,N/A,"Seed Funding",1500000,Other
21/07/2018,PaySense,"Consumer Internet","Online Consumer Lending Platform",Mumbai,"PayU & Others",Equity,18000000,Other
23/07/2018,VTION,Technology,"Media Analytics",Gurugram,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.","Seed Funding",280000,Technology
23/07/2018,Log9Materials,Technology,"Nanotechnology Company Specializing In Graphene",Bangalore,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others","Seed Funding",436000,Technology
